Album,Artist,Song,Year
1985 Hottest On Record,Pointer Sisters,Dare Me,85
1985 Hottest On Record,The Motels,Shame,85
1985 Hottest On Record,Tim Finn,Home For My Heart,85
1985 Hottest On Record,Tina Turner,We Don't Need Another Hero (Thunderdome),85
1985 Hottest On Record,Uncanny X-Men,Still Waiting,85
1985 Lets Go,Billy Ocean,Loverboy,85
1985 Lets Go,Bryan Adams,Run To You,85
1985 Lets Go,Cats Under Pressure,Let Me Be,85
1985 Lets Go,Daryl Hall & John Oates,Method Of Modern Love,85
1985 Lets Go,David Bowie and Pat Metheny Group,This Is Not America,85
1985 Lets Go,Dynamic Hepnotics,Gotta Be Wrong (Way To Love),85
1985 Lets Go,Elaine Paige and Barbara Dickson,I Know Him So Well,85
1985 Lets Go,Fun Fun Fun,Colour My Love,85
1985 Lets Go,Jacko,I'm An Individual,85
1985 Lets Go,Jim Diamond,I Should Have Known Better,85
1985 Lets Go,Jimmy Barnes,Daylight,85
1985 Lets Go,Lin Buckfield & James Reyne,R.O.C.K. - ROCK,85
1985 Lets Go,Maria Vidal,Body Rock,85
1985 Lets Go,Models,Barbados,85
1985 Lets Go,Pointer Sisters,Neutron Dance,85
1985 Lets Go,Thompson Twins,Lay Your Hands On Me,85
1985 Lets Go,Uncanny X-Men,The Party,85
1985 Lets Go,Vitabeats,Boom Box,85
1985 On Fire,Ashford And Simpson,Solid,85
1985 On Fire,Australian Crawl,Two Can Play,85
1985 On Fire,Beargarden,I Write The News,85
1985 On Fire,Billy Ocean,Suddenly,85
1985 On Fire,China Crisis,Black Man Ray,85
1985 On Fire,De Barge,Rhythm Of The Night,85
1985 On Fire,Do Re Mi,Man Overboard,85
1985 On Fire,Eurythmics,Would I Lie To You,85
1985 On Fire,Go West,We Close Our Eyes,85
1985 On Fire,Katrina And The Waves,Walking On Sunshine,85
1985 On Fire,Kids In The Kitchen,Something That You Said,85
1985 On Fire,Machinations,My Heart's On Fire,85
1985 On Fire,Mary Jane Girls,In My House,85
1985 On Fire,Paul Hardcastle,19,85
1985 On Fire,Pointer Sisters,Baby Come And Get It,85
1985 On Fire,Simple Minds,Don't You (Forget About Me),85
1985 On Fire,The Commodores,Nightshift,85
1985 On Fire,Uncanny X-Men,50 Years,85
Choose 1985,Billy Idol,Flesh For Fantasy,85
Choose 1985,Black Lace,Agadoo,85
Choose 1985,Corey Hart,Sunglasses At Night,85
Choose 1985,Divine,You Think You're A Man,85
Choose 1985,Dynamic Hepnotics,Soul Kind Of Feeling,85
Choose 1985,Hall & Oates,Out Of Touch,85
Choose 1985,Hazell Dean,Searchin' (I Gotta Find A Man),85
Choose 1985,Jermaine Jackson,Dynamite,85
Choose 1985,Jimmy Barnes,No Second Prize,85
Choose 1985,John Waite,Missing You,85
Choose 1985,Machinations,No Say In It,85
Choose 1985,Non Stop Dancers,Shake This City,85
Choose 1985,Pointer Sisters,Jump,85
Choose 1985,Ray Parker Jr.,Ghostbusters,85
Choose 1985,Split Enz,I Walk Away,85
Choose 1985,Tina Turner,What's Love Got To Do With It,85
Choose 1985,U2,Pride,85
Choose 1985,Uncanny X-Men,Everybody Wants To Work,85
Heaps of Hits 85,Alison Moyet,Invisible,85
Heaps of Hits 85,Band Aid,Do They Know It's Christmas?,85
Heaps of Hits 85,Bronski Beat,It Ain't Necessarily So,85
Heaps of Hits 85,Chaka Khan,I Feel For You,85
Heaps of Hits 85,Chicago,Hard Habit To Break,85
Heaps of Hits 85,Cyndi Lauper,Money Changes Everything (Live),85
Heaps of Hits 85,Dead Or Alive,You Spin Me Round (Like A Record),85
Heaps of Hits 85,Don Henley,The Boys Of Summer,85
Heaps of Hits 85,Dragon,Speak No Evil,85
Heaps of Hits 85,Foreigner,I Want To Know What Love Is,85
Heaps of Hits 85,Gang Gajang,Gimme Some Loving,85
Heaps of Hits 85,Honeydrippers,Sea Of Love,85
Heaps of Hits 85,Howard Jones,Like To Get To Know You Well,85
Heaps of Hits 85,I'm Talking,Trust Me,85
Heaps of Hits 85,Icehouse,Dusty Pages,85
Heaps of Hits 85,INXS,Dancing On The Jetty,85
Heaps of Hits 85,Laura Branigan,Ti Amo,85
Heaps of Hits 85,Lloyd Cole And The Commotions,Perfect Skin (Remix),85
Heaps of Hits 85,Mental As Anything,Apocalypso (Wiping The Smile Off Santa's Face),85
Heaps of Hits 85,Miami Sound Machine,Dr. Beat,85
Heaps of Hits 85,Mick Jagger,Just Another Night,85
Heaps of Hits 85,Nik Kershaw,The Riddle,85
Heaps of Hits 85,Paul Young,Everything Must Change,85
Heaps of Hits 85,Sade,Hang On To Your Love,85
Heaps of Hits 85,Status Quo,The Wanderer,85
Heaps of Hits 85,Tears For Fears,Shout,85
Heaps of Hits 85,The Cars,Hello Again,85
Heaps of Hits 85,The Kane Gang,Respect Yourself,85
Heaps of Hits 85,The Stranglers,Skin Deep,85
Heaps of Hits 85,The Style Council,Shout To The Top,85
Heaps of Hits 85,Time Bandits,I Am Only Shooting Love,85
Heaps of Hits 85,Wham!,Everything She Wants (Remix),85
Hits Hot! 84-85,Alison Moyet,Love Resurrection,85
Hits Hot! 84-85,Berlin,Dancing In Berlin,85
Hits Hot! 84-85,Cold Chisel,Flame Trees,85
Hits Hot! 84-85,Culture Club,The War Song,85
Hits Hot! 84-85,Cyndi Lauper,She Bop,85
Hits Hot! 84-85,Elton John,Passengers,85
Hits Hot! 84-85,George Michael,Careless Whisper,85
Hits Hot! 84-85,INXS,Burn For You,85
Hits Hot! 84-85,Laura Branigan,The Lucky One,85
Hits Hot! 84-85,Madonna,Lucky Star,85
Hits Hot! 84-85,Malcolm McLaren,Madam Butterfly (Un Bel Di Vedremo),85
Hits Hot! 84-85,Nik Kershaw,I Won't Let The Sun Go Down On Me,85
Hits Hot! 84-85,Scandal Featuring Patty Smyth,The Warrior,85
Hits Hot! 84-85,The Angels,Between The Eyes,85
Hits Hot! 84-85,The Style Council,You're The Best Thing,85
Hits Hot! 84-85,Twisted Sister,We're Not Gonna Take It,85
Jump n Jive,Allniters,Love & Affection,85
Jump n Jive,Band Aid,Do They Know It's Christmas,85
Jump n Jive,Bronski Beat,It Ain't Necessarily So,85
Jump n Jive,Chaka Khan,Feel For You,85
Jump n Jive,Cyndi Lauper,Money Changes Everything,85
Jump n Jive,Dan Hartman,I Can Dream About You,85
Jump n Jive,Dead Or Alive,You Spin Me Round,85
Jump n Jive,Dire Straits,So Far Away,85
Jump n Jive,Do-Ré-Mi,Man Overboard,85
Jump n Jive,Dragon,Speak No Evil,85
Jump n Jive,Eric Carmen,I Wanna Hear It From Your Lips,85
Jump n Jive,Eurogliders,We Will Together,85
Jump n Jive,Foreigner,I Want To Know What Love Is,85
Jump n Jive,INXS,Burn For You,85
Jump n Jive,Koo Dé Tah,Too Young For Promises,85
Jump n Jive,Nik Kershaw,The Riddle,85
Jump n Jive,Paul Young,Everytime You Go Away,85
Jump n Jive,Philip Bailey,Walking On The Chinese Wall,85
Jump n Jive,Pointer Sisters,Baby Come And Get It,85
Jump n Jive,Pookah Makes Three,Take It Back,85
Jump n Jive,REO Speedwagon,Can't Fight This Feeling,85
Jump n Jive,Simple Minds,Don't You Forget About Me,85
Jump n Jive,Stephen Duffy,Kiss Me,85
Jump n Jive,Tears For Fears,Shout,85
Jump n Jive,Teena Marie,Lovegirl,85
Jump n Jive,The Kane Gang,Respect Yourself,85
Jump n Jive,The Style Council,Shout To The Top,85
Jump n Jive,Twisted Sister,We're Not Gonna Take It,85
Jump n Jive,UB40,Red Red Wine,85
Jump n Jive,Wham!,Everything She Wants,85
The Bop Won't Stop,Bananarama,Robert De Niro's Waiting,85
The Bop Won't Stop,Bette Midler,Beast Of Burden,85
The Bop Won't Stop,Bryan Ferry,Tokyo Joe,85
The Bop Won't Stop,Cold Chisel,You Got Nothin' I Want,85
The Bop Won't Stop,Dennis Waterman,I Could Be So Good For You,85
The Bop Won't Stop,Dr. Hook,Walk Right In,85
The Bop Won't Stop,Elton John,I'm Still Standing,85
The Bop Won't Stop,Eurythmics,Sweet Dreams,85
The Bop Won't Stop,Gordon Franklin,Let The Franklin Flow,85
The Bop Won't Stop,Haysi Fantayzee,Shiny Shiny,85
The Bop Won't Stop,In Parallel,Reduced To Tears,85
The Bop Won't Stop,Joey Scarborough,Believe It Or Not,85
The Bop Won't Stop,Jump 'N The Saddle,The Curly Shuffle,85
The Bop Won't Stop,Kenny Loggins,Footloose,85
The Bop Won't Stop,Kim Wilde,Kids In America,85
The Bop Won't Stop,Moving Pictures,What About Me,85
The Bop Won't Stop,Naked Eyes,Always Something There To Remind Me,85
The Bop Won't Stop,Quiet Riot,Cum On Feel The Noize,85
The Bop Won't Stop,Real Life,Send Me An Angel,85
The Bop Won't Stop,Rick Springfield,Love Somebody,85
The Bop Won't Stop,Shakin' Stevens,Green Door,85
The Bop Won't Stop,Steve Miller Band,Abracadabra,85
The Bop Won't Stop,Survivor,Eye Of The Tiger,85
The Bop Won't Stop,Taco,Puttin' On The Ritz,85
The Bop Won't Stop,Taste Of Honey,Boogie Oogie Oogie,85
The Bop Won't Stop,Tavares,Heaven Must Be Missing An Angel,85
The Bop Won't Stop,The Blues Brothers,Shake Your Tailfeather,85
The Bop Won't Stop,The Jam,Town Called Malice,85
The Bop Won't Stop,The Quick,Rhythm Of The Jungle,85
The Bop Won't Stop,Toto,Rosanna,85
1986 All The Hits,A-ha,The Sun Always Shines On T.V.,86
1986 All The Hits,Bronski Beat,Hit That Perfect Beat,86
1986 All The Hits,Clarence Clemmons & Jackson Browne,You're A Friend Of Mine,86
1986 All The Hits,Dionne Warwick,That's What Friends Are For,86
1986 All The Hits,Dire Straits,Walk Of Life,86
1986 All The Hits,Elton John,Wrap Her Up,86
1986 All The Hits,Eurogliders,Can't Wait To See You,86
1986 All The Hits,Eurythmics,It's Alright (Baby's Coming Back),86
1986 All The Hits,Fine Young Cannibals,Blue,86
1986 All The Hits,Jennifer Rush,Power Of Love,86
1986 All The Hits,Mr. Mister,Broken Wings,86
1986 All The Hits,Pete Townshend,Face The Face,86
1986 All The Hits,Starship,We Built This City,86
1986 All The Hits,The Cars,Tonight She Comes,86
1986 All The Hits,The Cure,Close To Me,86
1986 All The Hits,Thompson Twins,King For A Day,86
1986 Just For Kicks,AC/DC,Who Made Who,86
1986 Just For Kicks,Billy Ocean,There'll Be Sad Songs,86
1986 Just For Kicks,Boys Don't Cry,I Wanna Be A Cowboy,86
1986 Just For Kicks,Crowded House,Mean To Me,86
1986 Just For Kicks,Culture Club,God Thank You Woman,86
1986 Just For Kicks,I'm Talking,Do You Wanna Be,86
1986 Just For Kicks,Janet Jackson,What Have You Done For Me Lately,86
1986 Just For Kicks,New Order,Shell Shock,86
1986 Just For Kicks,Orchestral Manoeuvres In The Dark,If You Leave,86
1986 Just For Kicks,Paul Kelly,Before Too Long,86
1986 Just For Kicks,Peter Gabriel,Sledgehammer,86
1986 Just For Kicks,Queen,Princes Of The Universe,86
1986 Just For Kicks,Robert Palmer,Hyperactive,86
1986 Just For Kicks,Samantha Fox,Touch Me,86
1986 Just For Kicks,Sly Fox,Let's Go All The Way,86
1986 Just For Kicks,Suzanne Vega,Left Of Centre,86
1986 Just For Kicks,The Bangles,Manic Monday,86
1986 Just For Kicks,Venetians,If Somebody Loves You,86
1986 Out Now,Arcadia,Election Day,86
1986 Out Now,Bryan Adams,Summer Of '69,86
1986 Out Now,Divinyls,Pleasure And Pain,86
1986 Out Now,Eurythmics & Aretha Franklin,Sisters Are Doin' It For Themselves,86
1986 Out Now,Heart,What About Love,86
1986 Out Now,Hoodoo Gurus,Like Wow - Wipeout,86
1986 Out Now,Jimmy Barnes,I'd Die To Be With You Tonight,86
1986 Out Now,Kate Bush,Running Up That Hill,86
1986 Out Now,Kids In The Kitchen,Current Stand,86
1986 Out Now,Midge Ure,If I Was,86
1986 Out Now,Models,Cold Fever,86
1986 Out Now,Pseudo Echo,Don't Go,86
1986 Out Now,Queen,One Vision,86
1986 Out Now,Real Life,Face To Face,86
1986 Out Now,Simple Minds,Alive And Kicking,86
1986 Out Now,Thompson Twins,Don't Mess With Doctor Dream,86
1986 Out Now,Tina Turner,One Of The Living,86
1986 Out Now,UB40 With Chrissie Hynde,I Got You Babe,86
1986 Way To Go,Baltimora,Tarzan Boy,86
1986 Way To Go,Billy Ocean,When The Going Gets Tough The Tough Get Going,86
1986 Way To Go,David Bowie,Absolute Beginners,86
1986 Way To Go,Diana Ross,Chain Reaction,86
1986 Way To Go,Go West,Don't Look Down,86
1986 Way To Go,Hoodoo Gurus,Death Defying,86
1986 Way To Go,Hunters And Collectors,Say Goodbye,86
1986 Way To Go,Icehouse,Baby You're So Strange,86
1986 Way To Go,Jimmy Barnes,Ride The Night Away,86
1986 Way To Go,John Taylor,I Do What I Do,86
1986 Way To Go,Jump Incorporated,Sex And Fame,86
1986 Way To Go,Pet Shop Boys,West End Girls,86
1986 Way To Go,Princess,Say I'm Your No. 1,86
1986 Way To Go,Pseudo Echo,Love An Adventure,86
1986 Way To Go,Robert Palmer,Addicted To Love,86
1986 Way To Go,Simple Minds,Sanctify Yourself,86
1986 Way To Go,Stevie Nicks,Talk To Me,86
1986 Way To Go,Venetians,So Much For Love,86
Heartbeat 86,Jennifer Rush,Power Of Love,86
Heartbeat 86,Sade,Sweetest Taboo,86
Heartbeat 86,Whitney Houston,Saving All My Love,86
Heartbeat 86,Alison Moyet,All Cried Out,86
Heartbeat 86,Phyllis Nelson,Move Closer,86
Heartbeat 86,Aretha Franklin,Another Night,86
Heartbeat 86,Paul Young,Every Time You Go Away,86
Heartbeat 86,Tears For Fears,Head Over Heels,86
Heartbeat 86,Elton John,Nikita,86
Heartbeat 86,Lionel Richie,Hello,86
Heartbeat 86,Cyndi Lauper,Time After Time,86
Heartbeat 86,Dionne Warwick,Friends,86
Heartbeat 86,Bryan Ferry,Slave To Love,86
Heartbeat 86,Starship ,Sara,86
Heartbeat 86,Kool & The Gang,Cherish,86
Heartbeat 86,D.C. Lee,See The Day,86
Hits Awesome 86,Big Country,Look Away,86
Hits Awesome 86,Boom Crash Opera,Great Wall,86
Hits Awesome 86,Bronski Beat,C'mon C'mon,86
Hits Awesome 86,Charlie Sexton,Impressed,86
Hits Awesome 86,Cliff Richard,Living Doll,86
Hits Awesome 86,Doctor & The Medics,Spirit In The Sky,86
Hits Awesome 86,Eurythmics,When Tomorrow Comes,86
Hits Awesome 86,George Michael,A Different Corner,86
Hits Awesome 86,Howard Jones,No One Is To Blame,86
Hits Awesome 86,Matt Moffitt,Miss This Tonight,86
Hits Awesome 86,Nu Shooz,I Can't Wait,86
Hits Awesome 86,Simply Red,Holding Back The Years,86
Hits Awesome 86,The Blow Monkeys,Digging Your Scene,86
Hits Awesome 86,The Moody Blues,Your Wildest Dreams,86
Hits Awesome 86,Wa Wa Nee,Stimulation,86
Hits Awesome 86,Whitney Houston,Greatest Love Of All,86
Just Hits 85-86,Dire Straits,Money For Nothing,86
Just Hits 85-86,Eurogliders,The City Of Soul (The Absolutely Mix),86
Just Hits 85-86,Fine Young Cannibals,Johnny Come Home,86
Just Hits 85-86,Harold Faltermeyer,Axel F,86
Just Hits 85-86,Howard Jones,Life In One Day,86
Just Hits 85-86,Kool & The Gang,Cherish,86
Just Hits 85-86,Madonna,Dress You Up,86
Just Hits 85-86,Mental As Anything,Date With Destiny,86
Just Hits 85-86,Phil Collins,(Billy) Don't Lose My Number,86
Just Hits 85-86,Sister Sledge,Frankie,86
Just Hits 85-86,Tears For Fears,Head Over Heels (Remix),86
Just Hits 85-86,The Cure,In Between Days,86
Just Hits 85-86,The Dream Academy,Life In A Northern Town,86
Just Hits 85-86,The Hooters,All You Zombies,86
Just Hits 85-86,The Style Council,(When You) Call Me,86
Just Hits 85-86,Time Bandits,Endless Road,86
1987 Into The Groove,Bangles,Walk Like An Egyptian,87
1987 Into The Groove,Billy Idol,Don't Need A Gun,87
1987 Into The Groove,Crowded House,Don't Dream It's Over,87
1987 Into The Groove,Debbie Harry,French Kissin' In The USA,87
1987 Into The Groove,Glass Tiger,Someday,87
1987 Into The Groove,Huey Lewis & The News,Jacob's Ladder,87
1987 Into The Groove,Iggy Pop,Real Wild Child,87
1987 Into The Groove,Jason & The Scorchers,Golden Ball & Chain,87
1987 Into The Groove,Julian Cope,World Shut Your Mouth,87
1987 Into The Groove,Models,Hold On,87
1987 Into The Groove,Paul Kelly & The Coloured Girls,Leaps And Bounds,87
1987 Into The Groove,Pseudo Echo,Funky Town,87
1987 Into The Groove,Robbie Nevil,C'est La Vie,87
1987 Into The Groove,The Angels,We Gotta Get Out Of This Place,87
1987 Into The Groove,The Chantoozies,Witch Queen,87
1987 Into The Groove,The Cockroaches,She's The One,87
1987 Into The Groove,The Steve Miller Band,I Want To Make The World Turn Around,87
1987 Into The Groove,Tina Turner,What You Get Is What You See,87
1987 Let's Party,AC/DC,You Shook Me All Night Long,87
1987 Let's Party,Bananarama,Venus,87
1987 Let's Party,Chris De Burgh,Lady In Red,87
1987 Let's Party,Cutting Crew,(I Just Died) In Your Arms,87
1987 Let's Party,Glass Tiger,Don't Forget Me (When I'm Gone),87
1987 Let's Party,Huey Lewis & The News,Stuck With You,87
1987 Let's Party,Janet Jackson,When I Think Of You,87
1987 Let's Party,Joe Cocker,You Can Leave Your Hat On,87
1987 Let's Party,Models,Let's Kiss,87
1987 Let's Party,Orchestral Manoeuvres In The Dark,(Forever) Live And Die,87
1987 Let's Party,Paul Kelly & The Coloured Girls,Darling It Hurts,87
1987 Let's Party,Paul McCartney,Press,87
1987 Let's Party,Robert Palmer,I Didn't Mean To Turn You On,87
1987 Let's Party,Rose Tattoo,Calling,87
1987 Let's Party,Steve Winwood,Higher Love,87
1987 Let's Party,The Beach Boys,Rock 'n' Roll To The Rescue,87
1987 Let's Party,The Reels,Bad Moon Rising,87
1987 Let's Party,Tina Turner,Typical Male,87
87 Hots Up,ABC,When Smokey Sings,87
87 Hots Up,Bananarama,I Heard A Rumour,87
87 Hots Up,Gino Vannelli,Wild Horses,87
87 Hots Up,Hoodoo Gurus,Good Times,87
87 Hots Up,Jennifer Warnes,First We Take Manhattan,87
87 Hots Up,Jenny Morris,You I Know,87
87 Hots Up,Mel & Kim,Respectable,87
87 Hots Up,Mental As Anything,He's Just No Good For You,87
87 Hots Up,Noiseworks,Take Me Back,87
87 Hots Up,Samantha Fox,Nothing's Gonna Stop Me Now,87
87 Hots Up,Swing Out Sister,Breakout,87
87 Hots Up,The Cure,Why Can't I Be You?,87
87 Hots Up,The Firm,Star Trekkin',87
87 Hots Up,The Party Boys,He's Gonna Step On You Again,87
87 Hots Up,The Rockmelons,Rhymes,87
87 Hots Up,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),87
87 Right On Track,Billy Vera & The Beaters,At This Moment,87
87 Right On Track,Breakfast Club,Right On Track,87
87 Right On Track,Club Nouveau,Lean On Me,87
87 Right On Track,Dave Dobbyn,Slice Of Heaven,87
87 Right On Track,Europe,Rock The Night,87
87 Right On Track,Hoodoo Gurus,What's My Scene,87
87 Right On Track,Jody Watley,Looking For A New Love,87
87 Right On Track,Lou Gramm,Midnight Blue,87
87 Right On Track,M.C. Miker G And Deejay Sven,Holiday Rap,87
87 Right On Track,Man 2 Man Meet Man Parrish,Male Stripper (Radio Edit),87
87 Right On Track,Mel & Kim,Showing Out (Get Fresh At The Weekend),87
87 Right On Track,Michael Bow,Love And Devotion (Radio Edit),87
87 Right On Track,Paul Lekakis,Boom Boom (Let's Go Back To My Room),87
87 Right On Track,Starship,Nothing's Gonna Stop Us Now,87
87 Right On Track,The Pretenders,Hymn To Her,87
87 Right On Track,Wa Wa Nee,One And One (Ain't I Good Enough),87
87 Right On Track,Wang Chung,Let's Go!,87
Hit City 1987,Angry Anderson,Suddenly,87
Hit City 1987,Bob Seger And The Silver Bullet Band,Hollywood Nights,87
Hit City 1987,Carol Hitchcock,Get Ready,87
Hit City 1987,Cliff Richard,My Pretty One,87
Hit City 1987,Gary Moore,Friday On My Mind,87
Hit City 1987,Heart,Alone,87
Hit City 1987,Herb Alpert,Diamonds,87
Hit City 1987,Huey Lewis & The News,Doin' It (All For My Baby),87
Hit City 1987,Icehouse,Crazy,87
Hit City 1987,James Reyne,Fall Of Rome,87
Hit City 1987,Johnny Hates Jazz,Shattered Dreams,87
Hit City 1987,Kylie Minogue,Locomotion,87
Hit City 1987,Paul Carrack,When You Walk In The Room,87
Hit City 1987,Shona Laing,Drive Baby Drive,87
Hit City 1987,Suzanne Vega,Luka,87
Hit City 1987,T'Pau,Heart And Soul,87
Hit City 1987,The Cockroaches,Double Shot,87
Hit City 1987,U2,Where The Streets Have No Name,87
Now Thats What I Call Music 1,China Crisis,Arizona Sky,87
Now Thats What I Call Music 1,Cutting Crew,I've Been In Love Before,87
Now Thats What I Call Music 1,Do-Ré-Mi,Guns And Butter,87
Now Thats What I Call Music 1,Floy Joy,Weak In The Presence Of Beauty,87
Now Thats What I Call Music 1,Genesis,In Too Deep,87
Now Thats What I Call Music 1,It Bites,Calling All The Heroes,87
Now Thats What I Call Music 1,Jean Beauvoir,The Heat,87
Now Thats What I Call Music 1,Jermaine Stewart,We Don't Have To,87
Now Thats What I Call Music 1,Orchestral Manoeuvres In The Dark,We Love You,87
Now Thats What I Call Music 1,Orchestral Manoeuvres In The Dark,If You Leave,87
Now Thats What I Call Music 1,Pete Wylie,Sinful,87
Now Thats What I Call Music 1,Peter Gabriel,Sledgehammer,87
Now Thats What I Call Music 1,Sandii & The Sunsetz,East Meets West,87
Now Thats What I Call Music 1,Simple Minds,Sanctify Yourself,87
Now Thats What I Call Music 1,The Human League,I Need Your Loving,87
Now Thats What I Call Music 1,UB40,Sing Our Own Song,87
Smash Hits 87,Angry Anderson,Suddenly,87
Smash Hits 87,Bananarama,I Heard A Rumour,87
Smash Hits 87,Bangles,Walk Like An Egyptian,87
Smash Hits 87,Chantoozies,Witch Queen,87
Smash Hits 87,Dave Dobbyn With Herbs,Slice Of Heaven,87
Smash Hits 87,Europe,The Final Countdown,87
Smash Hits 87,Kylie Minogue,Locomotion,87
Smash Hits 87,Mel & Kim,Respectable,87
Smash Hits 87,Mental As Anything,He's Just No Good For You,87
Smash Hits 87,Michael Bow,Love & Devotion,87
Smash Hits 87,Noiseworks,Take Me Back,87
Smash Hits 87,Pseudo Echo,Funky Town,87
Smash Hits 87,Samantha Fox,Nothing's Gonna Stop Me Now,87
Smash Hits 87,The Angels,We Gotta Get Out This Place,87
Smash Hits 87,The Party Boys,He's Gonna Step On You Again,87
Smash Hits 87,Wa Wa Nee,Sugar Free,87
Summer 87,Belinda Carlisle,Mad About You,87
Summer 87,Berlin,Take My Breath Away,87
Summer 87,Billy Joel,A Matter Of Trust,87
Summer 87,Bon Jovi,You Give Love A Bad Name,87
Summer 87,Communards,Don't Leave Me This Way,87
Summer 87,Cyndi Lauper,True Colors,87
Summer 87,Dragon,Dreams Of Ordinary Men,87
Summer 87,Elton John,Heartache All Over The World,87
Summer 87,Eurythmics,Missionary Man,87
Summer 87,Hollywood Beyond,What's The Colour Of Money,87
Summer 87,Jenny Morris,You're Gonna Get Hurt,87
Summer 87,John Farnham,You're The Voice,87
Summer 87,Kenny Loggins,Danger Zone,87
Summer 87,Lionel Richie,Dancing On The Ceiling,87
Summer 87,Oingo Boingo,Stay,87
Summer 87,Run - D.M.C.,Walk This Way,87
Summer 87,Stacey Q,Two Of Hearts,87
Summer 87,Wa Wa Nee,I Could Make You Love Me,87
1988 Whats Hot,Big Pig,Big Hotel,88
1988 Whats Hot,Crowded House,Better Be Home Soon,88
1988 Whats Hot,Divinyls,Hey Little Boy,88
1988 Whats Hot,Hunters And Collectors,Back On The Breadline,88
1988 Whats Hot,James Reyne,Motor's Too Fast,88
1988 Whats Hot,Jimmy Barnes,Waitin' For The Heartache,88
1988 Whats Hot,Kings Of The Sun,Serpentine,88
1988 Whats Hot,Kylie Minogue,Got To Be Certain,88
1988 Whats Hot,Machinations,Intimacy,88
1988 Whats Hot,Maxi Priest,Wild World,88
1988 Whats Hot,Morris Minor & The Majors,This Is The Chorus,88
1988 Whats Hot,Pat Benatar,All Fired Up,88
1988 Whats Hot,Robert Palmer,Simply Irresistible,88
1988 Whats Hot,Schnell Fenster,Whisper,88
1988 Whats Hot,Steve Winwood,Roll With It,88
1988 Whats Hot,The Cockroaches,Hey What Now!,88
1988 Whats Hot,UB40 With Chrissie Hynde,Breakfast In Bed,88
1988 Whats Hot,Ziggy Marley,Tomorrow People,88
88 Kix On,Bananarama,I Want You Back,88
88 Kix On,Billy Ocean,Get Outta My Dreams Get Into My Car,88
88 Kix On,Bros,When Will I Be Famous?,88
88 Kix On,Cheap Trick,The Flame,88
88 Kix On,Debbie Gibson,Shake Your Love,88
88 Kix On,Eurogliders,Groove,88
88 Kix On,Little River Band,Love Is A Bridge,88
88 Kix On,Michael Bolton,(Sittin' On) The Dock Of The Bay,88
88 Kix On,Rick Astley,My Arms Keep Missing You,88
88 Kix On,Sabrina,Boys (Summertime Love),88
88 Kix On,Taylor Dayne,Tell It To My Heart,88
88 Kix On,Terence Trent D'Arby,Sign Your Name,88
88 Kix On,Tiffany,Could've Been,88
88 Kix On,Underworld,Underneath The Radar,88
88 Kix On,Wet Wet Wet,Sweet Little Mystery,88
88 Kix On,Whitney Houston,Where Do Broken Hearts Go?,88
88 The Winners,1927,That's When I Think Of You,88
88 The Winners,Bros,I Owe You Nothing,88
88 The Winners,Cheap Trick,Don't Be Cruel,88
88 The Winners,Elton John,I Don't Wanna Go On With You Like That,88
88 The Winners,Eric Carmen,Make Me Lose Control,88
88 The Winners,Fairground Attraction,Perfect,88
88 The Winners,Fischer-Z,The Perfect Day,88
88 The Winners,Hothouse Flowers,Don't Go,88
88 The Winners,INXS,New Sensation,88
88 The Winners,Jerry Harrison,Man With A Gun (Radio Edit),88
88 The Winners,John Farnham,Age Of Reason,88
88 The Winners,Poison,Nothin' But A Good Time,88
88 The Winners,S-Express,Theme From S-Express,88
88 The Winners,Salt 'n' Pepa,Push It,88
88 The Winners,The Timelords,Doctorin' The Tardis,88
88 The Winners,Tiffany,I Saw Him Standing There,88
Celebrate 88,Bryan Ferry,The Right Stuff,88
Celebrate 88,Choirboys,Run To Paradise,88
Celebrate 88,David Bowie,Never Let Me Down,88
Celebrate 88,Do Re Mi,Adultery,88
Celebrate 88,Hunters And Collectors,Do You See What I See,88
Celebrate 88,Icehouse,Electric Blue,88
Celebrate 88,James Reyne,Hammerhead,88
Celebrate 88,Jimmy Barnes,Too Much Ain't Enough Love,88
Celebrate 88,Kids In The Kitchen,Say It,88
Celebrate 88,Machinations,Do To You,88
Celebrate 88,Models,Oh Darling,88
Celebrate 88,Paul Carrack,Don't Shed A Tear,88
Celebrate 88,Paul Kelly,To Her Door,88
Celebrate 88,Squeeze,Hourglass,88
Celebrate 88,Sting,We'll Be Together,88
Celebrate 88,Supertramp,I'm Begging You,88
Celebrate 88,The Rockmelons,New Groove,88
Celebrate 88,Whitesnake,Is This Love?,88
Pump It Up 88,INXS,Devil Inside,88
Pump It Up 88,Dragon,Celebration,88
Pump It Up 88,Tiffany,I Think We're Alone Now,88
Pump It Up 88,Bananarama,Love In The First Degree,88
Pump It Up 88,Rick Astley,Never Gonna Give You Up,88
Pump It Up 88,Whitney Houston,So Emotional,88
Pump It Up 88,Terence Trent D'Arby,Dance Little Sister (Part One),88
Pump It Up 88,The Communards,Never Can Say Goodbye,88
Pump It Up 88,Eurythmics,Shame,88
Pump It Up 88,Bangles,Hazy Shade Of Winter (Remix),88
Pump It Up 88,Foreigner,Say You Will,88
Pump It Up 88,Joe Cocker,Unchain My Heart (LP Version),88
Pump It Up 88,David Lee Roth,Just Like Paradise,88
