Album,Artist,Song,Year
1981 The Sound,The Boomtown Rats,Banana Republic,81
1981 The Sound,The Swingers,Counting The Beat,81
Hitwave 81,Adam And The Ants,Ant Music,81
Hitwave 81,Dr. Hook,The Wild Colonial Boy,81
Hitwave 81,Elton John,Nobody Wins,81
Hitwave 81,Kool & The Gang,Celebration,81
Hitwave 81,Loverboy,Turn Me Loose,81
Hitwave 81,Men At Work,Who Can It Be Now?,81
Hitwave 81,Mi-Sex,Falling In And Out,81
Hitwave 81,REO Speedwagon,Keep On Loving You,81
Hitwave 81,Roxy Music,Jealous Guy,81
Hitwave 81,Shakin Stevens,This Ole House,81
Hitwave 81,Split Enz,History Never Repeats,81
Hitwave 81,Stars On 45,Stars On 45,81
Hitwave 81,The Angels,Into The Heat,81
Hitwave 81,The Nolans,Gotta Pull Myself Together,81
Hitwave 81,The Quick,Hip Shake Jerk!,81
Hitwave 81,The Reels,Shout And Deliver,81
Hitwave 81,The Sports,How Come,81
Hitwave 81,Visage,Fade To Grey,81
In the Bag,Abba,Supertrooper,81
In the Bag,Adam And The Ants,Lady,81
In the Bag,Bette Midler,My Mothers Eyes,81
In the Bag,Bucks Fizz,Making Your Mind Up,81
In the Bag,Devo,Whip It,81
In the Bag,Donna Fisk,Bring Me No More Roses,81
In the Bag,Gibson Brothers,Que Sera Mi Vida,81
In the Bag,Grace Slick,Dreams,81
In the Bag,Hall & Oates,Kiss On My List,81
In the Bag,Heebeegeebees,Meaningless Song,81
In the Bag,INXS,The Loved One,81
In the Bag,Landscape,Einstein-A-Go-Go,81
In the Bag,Phoebe Snow,Games,81
In the Bag,Radiators,Room Full Of Diamonds,81
In the Bag,Sky,Meheeco,81
In the Bag,The Cure,Primary,81
In the Bag,The Dugites,Waiting,81
In the Bag,Village People,Can't Stop The Music,81
1982 In The Sun,Alvin Stardust,Pretend,82
1982 In The Sun,Australian Crawl,"Oh No, Not You Again",82
1982 In The Sun,Cliff Richard,Wired For Sound,82
1982 In The Sun,Dave Stewart & Barbara Gaskin,It's My Party,82
1982 In The Sun,Duran Duran,Girls On Film,82
1982 In The Sun,ELO,Hold On Tight,82
1982 In The Sun,Get Wet,Just So Lonely,82
1982 In The Sun,Greg Kihn Band,The Breakup Song,82
1982 In The Sun,Keith Marshall,Only Crying,82
1982 In The Sun,Mondo Rock,Summer Of '81,82
1982 In The Sun,Moving Pictures,Bustin' Loose,82
1982 In The Sun,Phil Seymour,Precious To Me,82
1982 In The Sun,Renee Geyer,Do You Know What I Mean,82
1982 In The Sun,Shakin' Stevens,Green Door,82
1982 In The Sun,Simple Minds,Love Song,82
1982 In The Sun,Sunnyboys,Alone With You,82
1982 In The Sun,The Angels,Fashion And Fame,82
1982 In The Sun,The Go Go's,Our Lips Are Sealed,82
1982 Out Of The Blue,Adrian Gurvitz,Classic,82
1982 Out Of The Blue,Australian Crawl,Shut Down,82
1982 Out Of The Blue,Blondie,Island Of Lost Souls,82
1982 Out Of The Blue,Duran Duran,Hungry Like The Wolf,82
1982 Out Of The Blue,Haircut One Hundred,Love Plus One,82
1982 Out Of The Blue,Huey Lewis & The News,Do You Believe In Love,82
1982 Out Of The Blue,Joan Jett & The Blackhearts,I Love Rock & Roll,82
1982 Out Of The Blue,Kim Wilde,View From A Bridge,82
1982 Out Of The Blue,Little Heroes,One Perfect Day,82
1982 Out Of The Blue,Madness,It Must Be Love,82
1982 Out Of The Blue,Ray Parker Jr.,The Other Woman,82
1982 Out Of The Blue,Rick Springfield,Don't Talk To Strangers,82
1982 Out Of The Blue,Rocky Sharpe & The Replays,Shout Shout,82
1982 Out Of The Blue,Split Enz,Six Months In A Leaky Boat,82
1982 Out Of The Blue,The J. Geils Band,Freeze Frame,82
1982 Out Of The Blue,The Members,Radio,82
1982 Out Of The Blue,Yazoo,Only You,82
1982 The Winners,ABC,The Look Of Love,82
1982 The Winners,Cheap Trick,If You Want My Love,82
1982 The Winners,Dexy's Midnight Runners,Come On Eileen,82
1982 The Winners,Doug Parkinson,Better Keep Your Hands Off My (Potential New Girl Friend),82
1982 The Winners,Goanna,Solid Rock,82
1982 The Winners,Goombay Dance Band,Seven Tears,82
1982 The Winners,Icehouse,Great Southern Land,82
1982 The Winners,John Cougar,Jack & Diane,82
1982 The Winners,Mental As Anything,I Didn't Mean To Be Mean,82
1982 The Winners,Mondo Rock,The Queen & Me,82
1982 The Winners,Monsoon,Ever So Lonely,82
1982 The Winners,Roxy Music,Avalon,82
1982 The Winners,Simple Minds,Glittering Prize,82
